plm,k,regime,aspect,cell,f_micro_w,n_proteins,status
prot_t5,5,nk,bpo,nk-bpo,0.4602683646751741,354,ok
prot_t5,5,nk,cco,nk-cco,0.5632942079603488,161,ok
prot_t5,5,nk,mfo,nk-mfo,0.5774230306985125,243,ok
prot_t5,5,pk,bpo,pk-bpo,0.15094975525360496,2382,ok
prot_t5,5,pk,cco,pk-cco,0.327181845095765,809,ok
prot_t5,5,pk,mfo,pk-mfo,0.40007393709399347,1057,ok
prot_t5,10,lk,bpo,lk-bpo,0.5503148191382401,307,ok
prot_t5,10,lk,cco,lk-cco,0.581705974116311,181,ok
prot_t5,10,lk,mfo,lk-mfo,0.5621499336570828,180,ok
prot_t5,10,nk,bpo,nk-bpo,0.41782570318878615,354,ok
prot_t5,10,nk,cco,nk-cco,0.5405635403274585,161,ok
prot_t5,10,nk,mfo,nk-mfo,0.5569972716873108,243,ok
prot_t5,10,pk,bpo,pk-bpo,0.15108734068327903,2382,ok
prot_t5,10,pk,cco,pk-cco,0.32264525059474614,809,ok
prot_t5,10,pk,mfo,pk-mfo,0.38325601927485886,1057,ok
